event_id,code,name,horizon,signal_date,entry_price,final_exit_date,status,exit_reason,net_return,win,max_intraday_drawdown,position_weighted_drawdown,take_profit_fill_count,stop_loss_triggered,remaining_fraction_at_expiry
603228:b1_staged:1:20260625,603228,603228,1,2026-06-25,77.63,2026-06-26,filled,stop_loss,-0.05,False,-0.07484220018034271,-0.07484220018034271,0,True,0.0
603228:b1_staged:2:20260625,603228,603228,2,2026-06-25,77.63,2026-06-26,filled,stop_loss,-0.05,False,-0.07484220018034271,-0.07484220018034271,0,True,0.0
603228:b1_staged:3:20260625,603228,603228,3,2026-06-25,77.63,2026-06-26,filled,stop_loss,-0.05,False,-0.07484220018034271,-0.07484220018034271,0,True,0.0
603228:b1_staged:4:20260625,603228,603228,4,2026-06-25,77.63,2026-06-26,filled,stop_loss,-0.05,False,-0.07484220018034271,-0.07484220018034271,0,True,0.0
603228:b1_staged:5:20260625,603228,603228,5,2026-06-25,77.63,2026-06-26,filled,stop_loss,-0.05,False,-0.07484220018034271,-0.07484220018034271,0,True,0.0
603267:b1_staged:1:20260616,603267,603267,1,2026-06-16,72.23,2026-06-17,filled,expiry,0.038349716184410854,True,-0.012183303336563922,-0.012183303336563922,0,False,1.0
603267:b1_staged:2:20260616,603267,603267,2,2026-06-16,72.23,2026-06-18,filled,expiry,0.05487793622225297,True,-0.012183303336563922,-0.012183303336563922,1,False,0.6666666666666667
603267:b1_staged:3:20260616,603267,603267,3,2026-06-16,72.23,2026-06-22,filled,expiry,0.04804790253357323,True,-0.012183303336563922,-0.012183303336563922,1,False,0.6666666666666667
603267:b1_staged:4:20260616,603267,603267,4,2026-06-16,72.23,2026-06-23,filled,expiry,0.014174627347823952,True,-0.02256680049840798,-0.015044533665605321,1,False,0.6666666666666667
603267:b1_staged:5:20260616,603267,603267,5,2026-06-16,72.23,2026-06-24,filled,expiry,0.05146291937791317,True,-0.02256680049840798,-0.015044533665605321,1,False,0.6666666666666667
603650:b1_staged:1:20260709,603650,603650,1,2026-07-09,89.56,2026-07-10,filled,stop_loss,-0.05,False,-0.07815989280928981,-0.07815989280928981,0,True,0.0
603650:b1_staged:2:20260709,603650,603650,2,2026-07-09,89.56,2026-07-10,filled,stop_loss,-0.05,False,-0.07815989280928981,-0.07815989280928981,0,True,0.0
