event_id,code,name,horizon,signal_date,buy_close,exit_date,exit_close,net_return,max_intraday_drawdown,max_close_drawdown,status
688126:b1_close:4:20260709,688126,688126,4,2026-07-09,37.25,2026-07-15,31.04,-0.16671140939597318,-0.17100671140939605,-0.16671140939597318,filled
688126:b1_close:5:20260709,688126,688126,5,2026-07-09,37.25,,,,,,insufficient_history
688170:b1_close:1:20260605,688170,688170,1,2026-06-05,80.15,2026-06-08,75.75,-0.05489706799750471,-0.05589519650655028,-0.05489706799750471,filled
688170:b1_close:2:20260605,688170,688170,2,2026-06-05,80.15,2026-06-09,79.4,-0.009357454772301987,-0.07685589519650671,-0.05489706799750471,filled
688170:b1_close:3:20260605,688170,688170,3,2026-06-05,80.15,2026-06-10,71.02,-0.11391141609482236,-0.13262632563942622,-0.11391141609482236,filled
688170:b1_close:4:20260605,688170,688170,4,2026-06-05,80.15,2026-06-11,70.39,-0.12177167810355594,-0.1767935121646912,-0.12177167810355594,filled
688170:b1_close:5:20260605,688170,688170,5,2026-06-05,80.15,2026-06-12,67.7,-0.15533374922021215,-0.1767935121646912,-0.15533374922021215,filled
688170:b1_close:1:20260615,688170,688170,1,2026-06-15,81.24,2026-06-16,83.13,0.023264401772525867,-0.02732644017725261,0.0,filled
688170:b1_close:2:20260615,688170,688170,2,2026-06-15,81.24,2026-06-17,85.79,0.05600689315608087,-0.02732644017725261,0.0,filled
688170:b1_close:3:20260615,688170,688170,3,2026-06-15,81.24,2026-06-18,85.25,0.049359921221073355,-0.02732644017725261,0.0,filled
688170:b1_close:4:20260615,688170,688170,4,2026-06-15,81.24,2026-06-22,85.7,0.054899064500246286,-0.02732644017725261,0.0,filled
688170:b1_close:5:20260615,688170,688170,5,2026-06-15,81.24,2026-06-23,82.49,0.015386509108813451,-0.031265386509108706,0.0,filled
688183:b1_close:1:20260609,688183,688183,1,2026-06-09,124.9,2026-06-10,116.4,-0.06805444355484391,-0.07902321857485994,-0.06805444355484391,filled
688183:b1_close:2:20260609,688183,688183,2,2026-06-09,124.9,2026-06-11,116.16,-0.06997598078462774,-0.08462770216172943,-0.06997598078462774,filled
688183:b1_close:3:20260609,688183,688183,3,2026-06-09,124.9,2026-06-12,123.65,-0.010008006405124115,-0.08462770216172943,-0.06997598078462774,filled
688183:b1_close:4:20260609,688183,688183,4,2026-06-09,124.9,2026-06-15,133.16,0.06613290632505997,-0.08462770216172943,-0.06997598078462774,filled
688183:b1_close:5:20260609,688183,688183,5,2026-06-09,124.9,2026-06-16,138.96,0.11257005604483594,-0.08462770216172943,-0.06997598078462774,filled
688187:b1_close:1:20260609,688187,688187,1,2026-06-09,57.9,2026-06-10,54.55,-0.05785837651122627,-0.07547495682210703,-0.05785837651122627,filled
688187:b1_close:2:20260609,688187,688187,2,2026-06-09,57.9,2026-06-11,54.78,-0.05388601036269425,-0.07772020725388606,-0.05785837651122627,filled
